"text","webVideoUrl","createTime"
"hadehh.. @fadlyfsl_  jadi garda terdepan @Fujiiian uti🥺❤️,bungkus aja dewan nya sana🤭 perasaan tadi adem adem aja datang aja hatters #indonesiagelap #fyp #masukberanda #fuji #fadly #kaburajadulu ","https://www.tiktok.com/@bulansabit_222/video/7473889707206806789","1740150555"
"Simak nih guys! Setelah kemarin heboh, ini dia klarifikasi Wamenaker RI soal #KaburAjaDulu 🤔 Saksikan #HotroomMetroTV setiap hari Rabu pukul 21.05 WIB hanya di #MetroTV.  #kaburajadulu #socialmedia #generasiz #milenial #kerja #pekerjaan ","https://www.tiktok.com/@metro_tv/video/7473468756522454278","1740052547"
"aigoo😹#kaburajadulu ","https://www.tiktok.com/@moonfalls1/video/7470150801403727111","1739280024"
"#mandiri🇯🇵 #tgmandiri🇮🇩🇯🇵 #tokuteginou🇲🇨🇯🇵 #kaburajadulu ","https://www.tiktok.com/@zetrosimanjuntak21/video/7474942664320781576","1740395718"
"Membalas @arikurni 1 Kasih paham teman-teman, tapi jangan terlalu ngegas ya ngasih taunya #day28 #affiliatetiktok  #KaburAjaDulu #Bahlil #trend  #jepang #gajidijepang ","https://www.tiktok.com/@babagenz/video/7471111563886333202","1739503720"
"berasa paling tinggi,sampai dia lupa diri klo dia buangan dari negera nya sendiri🫣🔥🔥🔥#kenshuseijapan🇮🇩🇯🇵🎌 #kaburajadulu ","https://www.tiktok.com/@ramly460/video/7474754647152954630","1740351942"
"Menurut kalian gimana guys? #kaburajadulu #indonesia ","https://www.tiktok.com/@chuubelle/video/7471211716861250822","1739527039"
"Terimakasih. Panjang umur perjuangan. 🫱🏻‍🫲🏽 #day29 #affiliatetiktok #KaburAjaDulu   #Bahlil  #trend  #jepang  #terimakasihyangsudahrepost  #reizukaari #iyandri #dokterfelix  #dansemuanya #eliteglobal ","https://www.tiktok.com/@babagenz/video/7471442185389460744","1739580704"
"#greenscreen #perantau #perantauan #anakrantau #kaburajadulu #indonesia #kerjadiluarnegeri #fypindonesia #fyp #fyppppppppppppppppppppppppppppppppppp #fypdongggggggg ","https://www.tiktok.com/@_reyachmad/video/7474789916866792710","1740360155"
"Udah ya Main kabur kaburnya #kaburajadulu #animasi #3d #meme #animasiindonesia #blender ","https://www.tiktok.com/@animasimantoon/video/7475276495095729413","1740473451"
"Tanpa mengurangi rasa hormat apalagi memprovokasi,  cuma mikir aja.  Isi kepala lo akhir2 pada begini ga? 🧐 #prabowo #jokowi #kaburajadulu ","https://www.tiktok.com/@satria.prabhawa/video/7473075394971798839","1739960960"
"Part 1: #Bundacorla angkat bicara soal #kaburajadulu & juga soal susahnya nyari kerja di negeri konoha✨ #masukberandafyp #fyp #fypシ ","https://www.tiktok.com/@creator_darksistem/video/7472790094336822546","1739894534"
